URL odkaz,Dispozice,Rozmery,Rozmer bez jednotek,Kompozice,Lokace,Ulice,Mesto,Cena za mesic,Cena
https://www.sreality.cz/detail/pronajem/byt/pokoj/napajedla-napajedla-masarykovo-namesti/2191180364,Pronájem bytu pokoj 16m²,16m²,16,pokoj,"Masarykovo náměstí, Napajedla",Masarykovo náměstí, Napajedla,7000Kč/měsíc,7000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-stefanikova/4156277324,Pronájem bytu 2+kk 50m²,50m²,50,2+kk,"Štefánikova, Zlín",Štefánikova, Zlín,17000Kč/měsíc,17000
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-ceska/1913967180,Pronájem bytu 2+1 45m²,45m²,45,2+1,"Česká, Zlín",Česká, Zlín,10000Kč/měsíc,10000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-nad-vyvozem/3883917900,Pronájem bytu 2+kk 57m²,57m²,57,2+kk,"Nad Vývozem, Zlín",Nad Vývozem, Zlín,14000Kč/měsíc,14000
https://www.sreality.cz/detail/pronajem/byt/2+kk/luhacovice-luhacovice-mlynska/1280692812,Pronájem bytu 2+kk 69m²,69m²,69,2+kk,"Mlýnská, Luhačovice",Mlýnská, Luhačovice,13000Kč/měsíc,13000
https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-zlin-ceska/3884372556,Pronájem bytu pokoj 89m²,89m²,89,pokoj,"Česká, Zlín",Česká, Zlín,4000Kč/měsíc,4000
https://www.sreality.cz/detail/pronajem/byt/3+1/otrokovice-otrokovice-nam-3-kvetna/3001537100,Pronájem bytu 3+1 93m²,93m²,93,3+1,"nám. 3. května, Otrokovice",nám. 3. května, Otrokovice,15000Kč/měsíc,15000
https://www.sreality.cz/detail/pronajem/byt/3+1/otrokovice-otrokovice-nam-3-kvetna/2853687884,Pronájem bytu 3+1 85m²,85m²,85,3+1,"nám. 3. května, Otrokovice",nám. 3. května, Otrokovice,15900Kč/měsíc,15900
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-malenovice-trida-svobody/4015116876,Pronájem bytu 2+1 57m²,57m²,57,2+1,"třída Svobody, Zlín - Malenovice",třída Svobody, Zlín - Malenovice,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-louky-zadni-luhy/762040908,Pronájem bytu 1+kk 36m²,36m²,36,1+kk,"Zadní luhy, Zlín - Louky",Zadní luhy, Zlín - Louky,11900Kč/měsíc,11900
https://www.sreality.cz/detail/pronajem/byt/2+1/napajedla-napajedla-na-kapli/3816153676,Pronájem bytu 2+1 60m²,60m²,60,2+1,"Na Kapli, Napajedla",Na Kapli, Napajedla,13000Kč/měsíc,13000
https://www.sreality.cz/detail/pronajem/byt/2+kk/luhacovice-luhacovice-/3879764556,Pronájem bytu 2+kk 85m²,85m²,85,2+kk,Luhačovice,NaN,Luhačovice,22000Kč/měsíc,22000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-nad-vyvozem/3883917900,Pronájem bytu 2+kk 57m²,57m²,57,2+kk,"Nad Vývozem, Zlín",Nad Vývozem, Zlín,14000Kč/měsíc,14000
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-vetrna/1114169932,Pronájem bytu 2+1 54m²,54m²,54,2+1,"Větrná, Zlín",Větrná, Zlín,15000Kč/měsíc,15000
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-slezska/2275865164,Pronájem bytu 3+1 73m²,73m²,73,3+1,"Slezská, Zlín",Slezská, Zlín,19000Kč/měsíc,19000
https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-smetanova/20378188,Pronájem bytu 1+1 45m²,45m²,45,1+1,"Smetanova, Zlín",Smetanova, Zlín,13000Kč/měsíc,13000
https://www.sreality.cz/detail/pronajem/byt/1+kk/luhacovice-luhacovice-/2214654540,Pronájem bytu 1+kk 33m²,33m²,33,1+kk,Luhačovice,NaN,Luhačovice,11000Kč/měsíc,11000
https://www.sreality.cz/detail/pronajem/byt/2+kk/frystak-horni-ves-komenskeho/964424268,Pronájem bytu 2+kk 57m²,57m²,57,2+kk,"Komenského, Fryšták - Horní Ves",Komenského, Fryšták - Horní Ves,14000Kč/měsíc,14000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-louky-/182441292,Pronájem bytu 2+kk 45m²,45m²,45,2+kk,Zlín - Louky,NaN,Zlín - Louky,12500Kč/měsíc,12500
https://www.sreality.cz/detail/pronajem/byt/2+kk/luhacovice-luhacovice-nadrazni/532079948,Pronájem bytu 2+kk 120m²,120m²,120,2+kk,"Nádražní, Luhačovice",Nádražní, Luhačovice,23000Kč/měsíc,23000
https://www.sreality.cz/detail/pronajem/byt/2+kk/otrokovice-kvitkovice-pricna/156140108,Pronájem bytu 2+kk 45m²,45m²,45,2+kk,"Příčná, Otrokovice - Kvítkovice",Příčná, Otrokovice - Kvítkovice,13700Kč/měsíc,13700
https://www.sreality.cz/detail/pronajem/byt/1+1/rackova-rackova-/1342734924,Pronájem bytu 1+1 40m²,40m²,40,1+1,Racková,NaN,Racková,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-bartosova/1606193740,Pronájem bytu 2+kk 58m²,58m²,58,2+kk,"Bartošova, Zlín",Bartošova, Zlín,20000Kč/měsíc,20000
https://www.sreality.cz/detail/pronajem/byt/2+kk/luhacovice-luhacovice-/3879764556,Pronájem bytu 2+kk 85m²,85m²,85,2+kk,Luhačovice,NaN,Luhačovice,22000Kč/měsíc,22000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-tyrsovo-nabrezi/2091799884,Pronájem bytu 2+kk 49m²,49m²,49,2+kk,"Tyršovo nábřeží, Zlín",Tyršovo nábřeží, Zlín,18000Kč/měsíc,18000
https://www.sreality.cz/detail/pronajem/byt/4+1/zlin-zlin-na-honech-ii/3934757452,Pronájem bytu 4+1 79m²,79m²,79,4+1,"Na Honech II, Zlín",Na Honech II, Zlín,19000Kč/měsíc,19000
https://www.sreality.cz/detail/pronajem/byt/4+kk/luhacovice-luhacovice-/826365260,Pronájem bytu 4+kk 100m²,100m²,100,4+kk,Luhačovice,NaN,Luhačovice,39900Kč/měsíc,39900
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-jaroslavice-v-doline/3725157708,Pronájem bytu 2+kk 40m²,40m²,40,2+kk,"V Dolině, Zlín - Jaroslavice",V Dolině, Zlín - Jaroslavice,9000Kč/měsíc,9000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-louky-k-luham/1516360780,Pronájem bytu 2+kk 47m²,47m²,47,2+kk,"K Luhám, Zlín - Louky",K Luhám, Zlín - Louky,14900Kč/měsíc,14900
